category, ImageButton, Switch, ProgressBar, CompoundButton, RadioButton, SwitchCompat, Spinner, SeekBar, CheckBox, RatingBar, CheckedTextView, TextSwitcher, Button, ToggleButton, EditText
EVENTS, 134, 19, 12, 0, 32, 0, 0, 2, 25, 0, 38, 0, 386, 8, 185
FAMILY_EDUCATION, 37, 0, 3, 0, 8, 0, 1, 0, 0, 0, 0, 0, 61, 0, 12
FAMILY_ACTION, 4, 0, 1, 0, 0, 0, 0, 0, 1, 0, 27, 0, 15, 0, 10
FOOD_AND_DRINK, 286, 2, 15, 0, 186, 0, 6, 1, 81, 30, 85, 0, 602, 8, 161
FAMILY_PRETEND, 48, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 20, 1, 17
PERSONALIZATION, 191, 20, 12, 2, 45, 0, 0, 11, 49, 15, 81, 0, 423, 1, 30
FAMILY_BRAINGAMES, 13, 0, 1, 0, 2, 0, 0, 0, 19, 0, 5, 0, 63, 0, 52
NEWS_AND_MAGAZINES, 291, 27, 27, 0, 72, 0, 0, 4, 22, 2, 106, 0, 359, 1, 56
BUSINESS, 190, 6, 3, 0, 13, 0, 0, 1, 55, 2, 120, 0, 592, 2, 219
PHOTOGRAPHY, 447, 7, 14, 2, 18, 0, 1, 26, 22, 1, 73, 0, 456, 2, 55
TRAVEL_AND_LOCAL, 256, 10, 9, 0, 35, 0, 4, 8, 42, 32, 154, 0, 462, 7, 232
EDUCATION, 287, 3, 12, 0, 18, 0, 0, 3, 26, 9, 78, 0, 441, 3, 96
BOOKS_AND_REFERENCE, 226, 7, 15, 2, 17, 0, 0, 3, 30, 0, 28, 0, 395, 0, 90
FAMILY, 115, 1, 4, 0, 43, 0, 0, 5, 7, 0, 1, 0, 104, 0, 28
SPORTS, 269, 16, 32, 2, 23, 0, 3, 1, 116, 1, 109, 1, 433, 5, 132
LIBRARIES_AND_DEMO, 175, 13, 13, 4, 15, 0, 0, 18, 27, 0, 130, 0, 472, 0, 45
MAPS_AND_NAVIGATION, 247, 11, 10, 0, 50, 0, 0, 0, 61, 0, 192, 0, 458, 14, 156
FINANCE, 157, 8, 10, 0, 33, 2, 1, 0, 32, 0, 84, 0, 478, 6, 199
FAMILY_MUSICVIDEO, 65, 0, 4, 1, 0, 0, 0, 3, 4, 0, 51, 0, 110, 13, 20
AUTO_AND_VEHICLES, 278, 5, 12, 0, 22, 0, 0, 2, 38, 1, 164, 0, 525, 9, 117
FAMILY_CREATE, 217, 1, 0, 0, 62, 0, 0, 5, 10, 0, 6, 0, 155, 0, 41
HOUSE_AND_HOME, 178, 4, 11, 0, 24, 0, 0, 2, 26, 0, 84, 0, 326, 25, 109
HEALTH_AND_FITNESS, 312, 11, 33, 1, 83, 0, 0, 17, 41, 0, 185, 0, 550, 9, 269
ENTERTAINMENT, 264, 6, 13, 1, 13, 0, 0, 8, 43, 13, 89, 0, 380, 2, 113
WEATHER, 217, 8, 9, 0, 45, 0, 0, 7, 84, 0, 196, 0, 214, 7, 66
PARENTING, 179, 9, 10, 1, 59, 0, 0, 6, 25, 1, 66, 0, 423, 0, 160
LIFESTYLE, 177, 9, 6, 2, 13, 0, 0, 10, 28, 1, 64, 0, 532, 0, 149
MUSIC_AND_AUDIO, 419, 18, 26, 2, 12, 0, 0, 129, 47, 1, 134, 0, 528, 64, 127
COMICS, 214, 0, 8, 0, 32, 0, 0, 6, 13, 6, 34, 0, 314, 2, 70
VIDEO_PLAYERS, 378, 6, 8, 1, 8, 1, 0, 57, 63, 0, 219, 0, 475, 6, 71
ART_AND_DESIGN, 358, 1, 16, 1, 21, 0, 0, 8, 15, 3, 35, 0, 433, 15, 56
DATING, 128, 1, 8, 0, 46, 0, 3, 2, 17, 0, 174, 0, 592, 0, 273
MEDICAL, 286, 10, 28, 0, 39, 0, 1, 15, 51, 3, 128, 0, 631, 2, 175
SHOPPING, 267, 18, 14, 4, 48, 0, 0, 1, 35, 18, 58, 0, 492, 9, 201
SOCIAL, 161, 3, 7, 2, 22, 0, 0, 0, 34, 0, 51, 0, 422, 0, 228
BEAUTY, 304, 5, 10, 0, 3, 0, 0, 1, 9, 0, 63, 0, 239, 2, 23
PRODUCTIVITY, 238, 6, 11, 2, 47, 0, 1, 1, 99, 0, 70, 0, 508, 18, 152
COMMUNICATION, 125, 3, 0, 3, 9, 0, 1, 1, 67, 0, 56, 0, 295, 3, 141
TOOLS, 246, 10, 20, 2, 25, 0, 0, 9, 79, 8, 79, 0, 491, 3, 53
